stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70001,1,Oak Grove,499.69223892457455,Forest Hills,Forest Hills - Orange Line,orange,2016
70002,0,Forest Hills,509.65649852434274,Green Street,Green Street - Orange Line - Forest Hills,orange,2016
70003,1,Oak Grove,512.0709980499911,Green Street,Green Street - Orange Line - Oak Grove,orange,2016
70004,0,Forest Hills,506.53810773821544,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange,2016
70005,1,Oak Grove,512.9414180568053,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange,2016
70006,0,Forest Hills,506.07084761712713,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange,2016
70007,1,Oak Grove,511.7442836119226,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange,2016
70008,0,Forest Hills,504.4476535097456,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange,2016
70009,1,Oak Grove,511.7408963893595,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange,2016
70010,0,Forest Hills,504.7196029776675,Ruggles,Ruggles - Orange Line - Forest Hills,orange,2016
70011,1,Oak Grove,511.32834210468366,Ruggles,Ruggles - Orange Line - Oak Grove,orange,2016
70012,0,Forest Hills,505.26147908256064,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange,2016
70013,1,Oak Grove,512.1386379280675,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange,2016
70014,0,Forest Hills,506.44928571428574,Back Bay,Back Bay - Orange Line - Forest Hills,orange,2016
70015,1,Oak Grove,513.125261051166,Back Bay,Back Bay - Orange Line - Oak Grove,orange,2016
70016,0,Forest Hills,508.8993129021704,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange,2016
70017,1,Oak Grove,515.3095238095239,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange,2016
70018,0,Forest Hills,510.6439480333624,Chinatown,Chinatown - Orange Line - Forest Hills,orange,2016
70019,1,Oak Grove,515.177310616667,Chinatown,Chinatown - Orange Line - Oak Grove,orange,2016
70020,0,Forest Hills,509.17629407351836,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange,2016
70021,1,Oak Grove,509.7649419490525,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange,2016
70022,0,Forest Hills,512.90716254032,State,State - Orange Line - Forest Hills,orange,2016
70023,1,Oak Grove,509.3843737135181,State,State - Orange Line - Oak Grove,orange,2016
70024,0,Forest Hills,512.8667491749175,Haymarket,Haymarket - Orange Line - Forest Hills,orange,2016
70025,1,Oak Grove,505.85996232366597,Haymarket,Haymarket - Orange Line - Oak Grove,orange,2016
70026,0,Forest Hills,509.9817631224764,North Station,North Station - Orange Line - Forest Hills,orange,2016
70027,1,Oak Grove,506.17717453473534,North Station,North Station - Orange Line - Oak Grove,orange,2016
70028,0,Forest Hills,507.67671472258627,Community College,Community College - Orange Line - Forest Hills,orange,2016
70029,1,Oak Grove,503.7102787303262,Community College,Community College - Orange Line - Oak Grove,orange,2016
70030,0,Forest Hills,505.2348167423808,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange,2016
70031,1,Oak Grove,500.1741931214013,Sullivan Square,Sullivan Square - Orange Line - Oak Grove,orange,2016
70032,0,Forest Hills,513.825794495161,Wellington,Wellington - Orange Line - Forest Hills,orange,2016
70033,1,Oak Grove,500.5079767705761,Wellington,Wellington - Orange Line - Oak Grove,orange,2016
70034,0,Forest Hills,515.0836160492152,Malden Center,Malden Center - Orange Line - Forest Hills,orange,2016
70035,1,Oak Grove,503.0799401129687,Malden Center,Malden Center - Orange Line - Oak Grove,orange,2016
70036,0,Forest Hills,511.73266185098515,Oak Grove,Oak Grove - Orange Line,orange,2016
70038,1,Wonderland,443.3161702353191,Bowdoin,Bowdoin - Blue Line - Wonderland,blue,2016
70039,0,Bowdoin,445.7327160795427,Government Center,Government Center - Blue Line - Bowdoin,blue,2016
70040,1,Wonderland,439.8525705468403,Government Center,Government Center - Blue Line - Wonderland,blue,2016
70041,0,Bowdoin,440.5773961260071,State,State - Blue Line - Bowdoin,blue,2016
70042,1,Wonderland,440.35831005459096,State,State - Blue Line - Wonderland,blue,2016
70043,0,Bowdoin,438.94942180515017,Aquarium,Aquarium - Blue Line - Bowdoin,blue,2016
70044,1,Wonderland,440.5337766499342,Aquarium,Aquarium - Blue Line - Wonderland,blue,2016
70045,0,Bowdoin,438.007915857368,Maverick,Maverick - Blue Line - Bowdoin,blue,2016
70046,1,Wonderland,439.58946116549265,Maverick,Maverick - Blue Line - Wonderland,blue,2016
70047,0,Bowdoin,439.9731760049837,Airport,Airport - Blue Line - Bowdoin,blue,2016
70048,1,Wonderland,441.07881981419604,Airport,Airport - Blue Line - Wonderland,blue,2016
70049,0,Bowdoin,440.80358436252203,Wood Island,Wood Island - Blue Line - Bowdoin,blue,2016
70050,1,Wonderland,441.7405840585922,Wood Island,Wood Island - Blue Line - Wonderland,blue,2016
70051,0,Bowdoin,449.733405897102,Orient Heights,Orient Heights - Blue Line - Bowdoin,blue,2016
70052,1,Wonderland,440.72119862695985,Orient Heights,Orient Heights - Blue Line - Wonderland,blue,2016
70053,0,Bowdoin,451.529713349089,Suffolk Downs,Suffolk Downs - Blue Line - Bowdoin,blue,2016
70054,1,Wonderland,440.33069826271344,Suffolk Downs,Suffolk Downs - Blue Line - Wonderland,blue,2016
70055,0,Bowdoin,451.18408668260656,Beachmont,Beachmont - Blue Line - Bowdoin,blue,2016
70056,1,Wonderland,440.12824569567243,Beachmont,Beachmont - Blue Line - Wonderland,blue,2016
70057,0,Bowdoin,451.36573696102073,Revere Beach,Revere Beach - Blue Line - Bowdoin,blue,2016
70058,1,Wonderland,443.4525909592062,Revere Beach,Revere Beach - Blue Line - Wonderland,blue,2016
70060,0,Bowdoin,448.8358321852122,Wonderland,Wonderland - Blue Line - Exit Only,blue,2016
70061,0,Braintree,706.8943152056694,Alewife,Alewife - Red Line,red,2016
70061,0,Southbound,338.90082273747197,Alewife,Alewife - Red Line,red,2016
70063,0,Braintree,682.349223188009,Davis,Davis - Red Line - Ashmont/Braintree,red,2016
70063,0,Southbound,353.0379490559819,Davis,Davis - Red Line - Ashmont/Braintree,red,2016
70064,1,Alewife,355.17395876804943,Davis,Davis - Red Line - Alewife,red,2016
70065,0,Braintree,681.6982980743152,Porter,Porter - Red Line - Ashmont/Braintree,red,2016
70065,0,Southbound,353.8193386210342,Porter,Porter - Red Line - Ashmont/Braintree,red,2016
70066,1,Alewife,353.1736603572381,Porter,Porter - Red Line - Alewife,red,2016
70067,0,Braintree,681.9480922655806,Harvard,Harvard - Red Line - Ashmont/Braintree,red,2016
70067,0,Southbound,354.1174741442994,Harvard,Harvard - Red Line - Ashmont/Braintree,red,2016
70068,1,Alewife,352.3642368141934,Harvard,Harvard - Red Line - Alewife,red,2016
70069,0,Braintree,692.9854327615556,Central,Central - Red Line - Ashmont/Braintree,red,2016
70069,0,Southbound,360.6112150943396,Central,Central - Red Line - Ashmont/Braintree,red,2016
70070,1,Alewife,351.2041174252979,Central,Central - Red Line - Alewife,red,2016
70071,0,Braintree,692.794136202145,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,red,2016
70071,0,Southbound,358.12196550501704,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,red,2016
70072,1,Alewife,358.1355584649116,Kendall/MIT,Kendall/MIT - Red Line - Alewife,red,2016
70073,0,Braintree,694.0656158710796,Charles/MGH,Charles/MGH - Red Line - Ashmont/Braintree,red,2016
70073,0,Southbound,357.20921130478314,Charles/MGH,Charles/MGH - Red Line - Ashmont/Braintree,red,2016
70074,1,Alewife,358.53719166294854,Charles/MGH,Charles/MGH - Red Line - Alewife,red,2016
70075,0,Braintree,693.187811900192,Park Street,Park Street - Red Line - Ashmont/Braintree,red,2016
70075,0,Southbound,355.26036911784774,Park Street,Park Street - Red Line - Ashmont/Braintree,red,2016
70076,1,Alewife,356.0026541793846,Park Street,Park Street - Red Line - Alewife,red,2016
70077,0,Braintree,691.622639682386,Downtown Crossing,Downtown Crossing - Red Line - Ashmont/Braintree,red,2016
70077,0,Southbound,354.777816559427,Downtown Crossing,Downtown Crossing - Red Line - Ashmont/Braintree,red,2016
70078,1,Alewife,359.22119131564295,Downtown Crossing,Downtown Crossing - Red Line - Alewife,red,2016
70079,0,Braintree,685.937064269115,South Station,South Station - Red Line - Ashmont/Braintree,red,2016
70079,0,Southbound,355.86171342445107,South Station,South Station - Red Line - Ashmont/Braintree,red,2016
70080,1,Alewife,361.61437681858615,South Station,South Station - Red Line - Alewife,red,2016
70081,0,Braintree,690.7242710120069,Broadway,Broadway - Red Line - Ashmont/Braintree,red,2016
70081,0,Southbound,357.51681434271205,Broadway,Broadway - Red Line - Ashmont/Braintree,red,2016
70082,1,Alewife,361.51602015882713,Broadway,Broadway - Red Line - Alewife,red,2016
70083,0,Braintree,688.6071166054127,Andrew,Andrew - Red Line - Ashmont/Braintree,red,2016
70083,0,Southbound,351.1616929429429,Andrew,Andrew - Red Line - Ashmont/Braintree,red,2016
70084,1,Alewife,363.75183946488295,Andrew,Andrew - Red Line - Alewife,red,2016
70085,0,Ashmont,702.7100844292395,JFK/UMass,JFK/UMass - Red Line - Ashmont,red,2016
70086,1,Alewife,718.5573863996451,JFK/UMass,JFK/UMass - Red Line - Alewife (from Ashmont),red,2016
70087,0,Ashmont,701.9170007516913,Savin Hill,Savin Hill - Red Line - Ashmont,red,2016
70088,1,Alewife,718.1235550264716,Savin Hill,Savin Hill - Red Line - Alewife,red,2016
