,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,1,Oak Grove,505.7861356582719,Forest Hills,Forest Hills - Orange Line,orange
1,70002,0,Forest Hills,505.5733512474229,Green Street,Green Street - Orange Line - Forest Hills,orange
2,70003,1,Oak Grove,507.11446546678036,Green Street,Green Street - Orange Line - Oak Grove,orange
3,70004,0,Forest Hills,505.32089258873856,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
4,70005,1,Oak Grove,509.2273027891172,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
5,70006,0,Forest Hills,504.65555658284023,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
6,70007,1,Oak Grove,508.8807992336116,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
7,70008,0,Forest Hills,502.3931053591632,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
8,70009,1,Oak Grove,508.9449685534591,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
9,70010,0,Forest Hills,502.25609023251513,Ruggles,Ruggles - Orange Line - Forest Hills,orange
10,70011,1,Oak Grove,508.47271277201776,Ruggles,Ruggles - Orange Line - Oak Grove,orange
11,70012,0,Forest Hills,508.7862978259883,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
12,70013,1,Oak Grove,514.1130621272033,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
13,70014,0,Forest Hills,509.4791036974752,Back Bay,Back Bay - Orange Line - Forest Hills,orange
14,70015,1,Oak Grove,515.6255415162454,Back Bay,Back Bay - Orange Line - Oak Grove,orange
15,70016,0,Forest Hills,509.967933410657,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
16,70017,1,Oak Grove,514.4666174265315,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
17,70018,0,Forest Hills,511.60316775964964,Chinatown,Chinatown - Orange Line - Forest Hills,orange
18,70019,1,Oak Grove,514.5497351777773,Chinatown,Chinatown - Orange Line - Oak Grove,orange
19,70020,0,Forest Hills,511.44107462146076,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
20,70021,1,Oak Grove,511.460456034831,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
21,70022,0,Forest Hills,515.2421270005162,State,State - Orange Line - Forest Hills,orange
22,70023,1,Oak Grove,511.3346656487178,State,State - Orange Line - Oak Grove,orange
23,70024,0,Forest Hills,514.5716977745873,Haymarket,Haymarket - Orange Line - Forest Hills,orange
24,70025,1,Oak Grove,511.3609351839375,Haymarket,Haymarket - Orange Line - Oak Grove,orange
25,70026,0,Forest Hills,514.7213541082838,North Station,North Station - Orange Line - Forest Hills,orange
26,70027,1,Oak Grove,511.079014176271,North Station,North Station - Orange Line - Oak Grove,orange
27,70028,0,Forest Hills,513.6884954557726,Community College,Community College - Orange Line - Forest Hills,orange
28,70029,1,Oak Grove,510.9578307830783,Community College,Community College - Orange Line - Oak Grove,orange
29,70030,0,Forest Hills,506.4299737918985,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange
30,70031,1,Oak Grove,501.81506297345214,Sullivan Square,Sullivan Square - Orange Line - Oak Grove,orange
31,70032,0,Forest Hills,514.1580909046904,Wellington,Wellington - Orange Line - Forest Hills,orange
32,70033,1,Oak Grove,504.10468020163717,Wellington,Wellington - Orange Line - Oak Grove,orange
33,70034,0,Forest Hills,518.7270398481974,Malden Center,Malden Center - Orange Line - Forest Hills,orange
34,70035,1,Oak Grove,503.9553803339518,Malden Center,Malden Center - Orange Line - Oak Grove,orange
35,70036,0,Forest Hills,522.0757884522077,Oak Grove,Oak Grove - Orange Line,orange
36,70038,1,Wonderland,424.56223816982987,Bowdoin,Bowdoin - Blue Line - Wonderland,blue
37,70039,0,Bowdoin,417.66203489555386,Government Center,Government Center - Blue Line - Bowdoin,blue
38,70040,1,Wonderland,425.3676338672769,Government Center,Government Center - Blue Line - Wonderland,blue
39,70041,0,Bowdoin,417.8732335220011,State,State - Blue Line - Bowdoin,blue
40,70042,1,Wonderland,425.70839867255023,State,State - Blue Line - Wonderland,blue
41,70043,0,Bowdoin,416.91264598540147,Aquarium,Aquarium - Blue Line - Bowdoin,blue
42,70044,1,Wonderland,425.348958143269,Aquarium,Aquarium - Blue Line - Wonderland,blue
43,70045,0,Bowdoin,417.1240469850071,Maverick,Maverick - Blue Line - Bowdoin,blue
44,70046,1,Wonderland,425.1219832300401,Maverick,Maverick - Blue Line - Wonderland,blue
45,70047,0,Bowdoin,419.327879521993,Airport,Airport - Blue Line - Bowdoin,blue
46,70048,1,Wonderland,426.9147437058504,Airport,Airport - Blue Line - Wonderland,blue
47,70049,0,Bowdoin,419.4333919283811,Wood Island,Wood Island - Blue Line - Bowdoin,blue
48,70050,1,Wonderland,426.5853578998859,Wood Island,Wood Island - Blue Line - Wonderland,blue
49,70051,0,Bowdoin,425.89568771246326,Orient Heights,Orient Heights - Blue Line - Bowdoin,blue
50,70052,1,Wonderland,426.2048866379858,Orient Heights,Orient Heights - Blue Line - Wonderland,blue
51,70053,0,Bowdoin,428.13245685807794,Suffolk Downs,Suffolk Downs - Blue Line - Bowdoin,blue
52,70054,1,Wonderland,425.5991402764175,Suffolk Downs,Suffolk Downs - Blue Line - Wonderland,blue
53,70055,0,Bowdoin,428.15013943112103,Beachmont,Beachmont - Blue Line - Bowdoin,blue
54,70056,1,Wonderland,425.0676973444889,Beachmont,Beachmont - Blue Line - Wonderland,blue
55,70057,0,Bowdoin,428.1514965034965,Revere Beach,Revere Beach - Blue Line - Bowdoin,blue
56,70058,1,Wonderland,424.43457448752145,Revere Beach,Revere Beach - Blue Line - Wonderland,blue
57,70060,0,Bowdoin,429.3378617838157,Wonderland,Wonderland - Blue Line - Exit Only,blue
58,70061,0,Braintree,696.7946213680282,Alewife,Alewife - Red Line,red
59,70061,0,Southbound,341.43280965313346,Alewife,Alewife - Red Line,red
60,70063,0,Braintree,662.6640737636211,Davis,Davis - Red Line - Ashmont/Braintree,red
61,70063,0,Southbound,350.686666351711,Davis,Davis - Red Line - Ashmont/Braintree,red
62,70064,1,Alewife,357.39190470644996,Davis,Davis - Red Line - Alewife,red
63,70065,0,Braintree,663.5988175957781,Porter,Porter - Red Line - Ashmont/Braintree,red
64,70065,0,Southbound,351.2684202261307,Porter,Porter - Red Line - Ashmont/Braintree,red
65,70066,1,Alewife,354.122605303473,Porter,Porter - Red Line - Alewife,red
66,70067,0,Braintree,686.8612146541662,Harvard,Harvard - Red Line - Ashmont/Braintree,red
67,70067,0,Southbound,362.156645434519,Harvard,Harvard - Red Line - Ashmont/Braintree,red
68,70068,1,Alewife,355.6964623235887,Harvard,Harvard - Red Line - Alewife,red
69,70069,0,Braintree,669.967724920054,Central,Central - Red Line - Ashmont/Braintree,red
70,70069,0,Southbound,356.055111206817,Central,Central - Red Line - Ashmont/Braintree,red
71,70070,1,Alewife,355.2445018392424,Central,Central - Red Line - Alewife,red
72,70071,0,Braintree,670.0699388947928,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,red
73,70071,0,Southbound,349.79834718609226,Kendall/MIT,Kendall/MIT - Red Line - Ashmont/Braintree,red
74,70072,1,Alewife,350.4254568875292,Kendall/MIT,Kendall/MIT - Red Line - Alewife,red
75,70073,0,Braintree,672.4414010025883,Charles/MGH,Charles/MGH - Red Line - Ashmont/Braintree,red
76,70073,0,Southbound,349.1541495689792,Charles/MGH,Charles/MGH - Red Line - Ashmont/Braintree,red
77,70074,1,Alewife,356.7563009521439,Charles/MGH,Charles/MGH - Red Line - Alewife,red
78,70075,0,Braintree,679.8109711832844,Park Street,Park Street - Red Line - Ashmont/Braintree,red
79,70075,0,Southbound,352.27810632709173,Park Street,Park Street - Red Line - Ashmont/Braintree,red
80,70076,1,Alewife,356.57670935008457,Park Street,Park Street - Red Line - Alewife,red
81,70077,0,Braintree,679.5306623058054,Downtown Crossing,Downtown Crossing - Red Line - Ashmont/Braintree,red
82,70077,0,Southbound,351.55006970082263,Downtown Crossing,Downtown Crossing - Red Line - Ashmont/Braintree,red
83,70079,0,Braintree,679.385226844288,South Station,South Station - Red Line - Ashmont/Braintree,red
84,70079,0,Southbound,351.54859409458464,South Station,South Station - Red Line - Ashmont/Braintree,red
85,70080,1,Alewife,352.19962669785014,South Station,South Station - Red Line - Alewife,red
86,70081,0,Braintree,681.3256936067552,Broadway,Broadway - Red Line - Ashmont/Braintree,red
87,70081,0,Southbound,352.6095109463831,Broadway,Broadway - Red Line - Ashmont/Braintree,red
88,70082,1,Alewife,353.1611301265204,Broadway,Broadway - Red Line - Alewife,red
89,70083,0,Braintree,678.8037197885196,Andrew,Andrew - Red Line - Ashmont/Braintree,red
90,70083,0,Southbound,351.24108293940697,Andrew,Andrew - Red Line - Ashmont/Braintree,red
91,70084,1,Alewife,356.23301356373685,Andrew,Andrew - Red Line - Alewife,red
92,70085,0,Ashmont,703.8920983153131,JFK/UMass,JFK/UMass - Red Line - Ashmont,red
93,70086,1,Alewife,709.1553506914165,JFK/UMass,JFK/UMass - Red Line - Alewife (from Ashmont),red
94,70087,0,Ashmont,703.2625593012662,Savin Hill,Savin Hill - Red Line - Ashmont,red
95,70088,1,Alewife,709.4377371400137,Savin Hill,Savin Hill - Red Line - Alewife,red
96,70089,0,Ashmont,702.9869422943805,Fields Corner,Fields Corner - Red Line - Ashmont,red
97,70090,1,Alewife,709.2600931677018,Fields Corner,Fields Corner - Red Line - Alewife,red
98,70091,0,Ashmont,702.5108520519382,Shawmut,Shawmut - Red Line - Ashmont,red
99,70092,1,Alewife,709.7483691750679,Shawmut,Shawmut - Red Line - Alewife,red
100,70094,1,Alewife,693.348124890982,Ashmont,Ashmont - Red Line - Alewife,red
101,70095,0,Braintree,681.03848371726,JFK/UMass,JFK/UMass - Red Line - Braintree,red
102,70096,1,Alewife,686.8421676854301,JFK/UMass,JFK/UMass - Red Line - Alewife (from Braintree),red
103,70097,0,Braintree,675.7583455412524,North Quincy,North Quincy - Red Line - Braintree,red
104,70098,1,Alewife,678.7330045570884,North Quincy,North Quincy - Red Line - Alewife,red
105,70099,0,Braintree,674.9995608945206,Wollaston,Wollaston - Red Line - Braintree,red
106,70100,1,Alewife,679.4607895147449,Wollaston,Wollaston - Red Line - Alewife,red
107,70101,0,Braintree,673.5967180978879,Quincy Center,Quincy Center - Red Line - Braintree,red
108,70102,1,Alewife,683.4874146891241,Quincy Center,Quincy Center - Red Line - Alewife,red
109,70103,0,Braintree,680.5542257217847,Quincy Adams,Quincy Adams - Red Line - Braintree,red
110,70104,1,Alewife,684.4063263428408,Quincy Adams,Quincy Adams - Red Line - Alewife,red
111,70105,1,Alewife,691.1982023589597,Braintree,Braintree - Red Line,red
112,70106,1,Government Center,253.11111111111111,Boston College,Boston College - Green Line - Park Street & North,green
113,70106,1,Lechmere,250.71428571428572,Boston College,Boston College - Green Line - Park Street & North,green
114,70106,1,North Station,484.0,Boston College,Boston College - Green Line - Park Street & North,green
115,70106,1,Park St,496.6979103924385,Boston College,Boston College - Green Line - Park Street & North,green
116,70107,0,Boston College,520.1418938445237,Boston College,Boston College - Green Line - Exit Only,green
117,70110,1,Government Center,437.6666666666667,South Street,South Street - Green Line - Park Street & North,green
118,70110,1,Lechmere,881.0,South Street,South Street - Green Line - Park Street & North,green
119,70110,1,Park St,519.0201390770342,South Street,South Street - Green Line - Park Street & North,green
120,70111,0,Boston College,498.5033659730722,South Street,South Street - Green Line - (B) Boston College,green
121,70112,1,Lechmere,832.0,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - Park Street & North,green
122,70112,1,North Station,219.0,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - Park Street & North,green
123,70112,1,Park St,508.3326856743658,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - Park Street & North,green
124,70113,0,Boston College,496.9798571490789,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - (B) Boston College,green
125,70114,1,Government Center,445.0,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green
126,70114,1,Lechmere,199.0,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green
127,70114,1,Park St,509.3736025727975,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green
128,70115,0,Boston College,517.6640278583866,Chiswick Road,Chiswick Road - Green Line - (B) Boston College,green
129,70116,1,Government Center,422.0,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green
130,70116,1,Park St,515.317042300433,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green
131,70117,0,Boston College,582.3700480879322,Sutherland Road,Sutherland Road - Green Line - (B) Boston College,green
132,70120,1,Government Center,549.0,Washington Street,Washington Street - Green Line - Park Street & North,green
133,70120,1,Lechmere,553.0,Washington Street,Washington Street - Green Line - Park Street & North,green
134,70120,1,Park St,502.4419559859916,Washington Street,Washington Street - Green Line - Park Street & North,green
135,70121,0,Boston College,496.6682458303589,Washington Street,Washington Street - Green Line - (B) Boston College,green
136,70124,1,North Station,337.0,Warren Street,Warren Street - Green Line - Park Street & North,green
137,70124,1,Park St,495.83467002260994,Warren Street,Warren Street - Green Line - Park Street & North,green
138,70125,0,Boston College,496.59162145219517,Warren Street,Warren Street - Green Line - (B) Boston College,green
139,70126,1,North Station,387.0,Allston Street,Allston Street - Green Line - Park Street & North,green
140,70126,1,Park St,497.51847879710857,Allston Street,Allston Street - Green Line - Park Street & North,green
141,70127,0,Boston College,499.9976814232161,Allston Street,Allston Street - Green Line - (B) Boston College,green
142,70128,1,Park St,497.43169774077967,Griggs Street,Griggs Street - Green Line - Park Street & North,green
143,70129,0,Boston College,500.8749102460889,Griggs Street,Griggs Street - Green Line - (B) Boston College,green
144,70130,1,Government Center,493.0,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green
145,70130,1,Lechmere,205.0,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green
146,70130,1,Park St,494.75191613826087,Harvard Avenue,Harvard Avenue - Green Line - Park Street & North,green
147,70131,0,Boston College,497.1479291213281,Harvard Avenue,Harvard Avenue - Green Line - (B) Boston College,green
148,70134,1,Park St,496.0398896351114,Packard's Corner,Packard's Corner - Green Line - Park Street & North,green
149,70135,0,Boston College,509.35787838437636,Packard's Corner,Packard's Corner - Green Line - (B) Boston College,green
150,70136,1,Government Center,541.0,,,green
151,70136,1,Lechmere,492.5,,,green
152,70136,1,North Station,603.0,,,green
153,70136,1,Park St,494.77914152339747,,,unknown
154,70137,0,Boston College,558.0263481763258,,,green
155,70138,1,Government Center,207.0,,,green
156,70138,1,Lechmere,102.0,,,green
157,70138,1,Park St,494.2634759103196,,,unknown
158,70139,0,Boston College,506.7293583378432,,,green
159,70140,1,Government Center,277.5,,,green
160,70140,1,Lechmere,1130.0,,,green
161,70140,1,North Station,589.5,,,green
162,70140,1,Park St,495.85902743028703,,,unknown
163,70141,0,Boston College,548.2302311021585,,,green
164,70142,1,Lechmere,1198.0,,,green
165,70142,1,Park St,497.405532693187,,,unknown
166,70143,0,Boston College,503.2605576954125,,,green
167,70144,1,Government Center,418.75,Boston University Central,Boston University Central - Green Line - Park Street & North,green
168,70144,1,Park St,491.5174642495214,Boston University Central,Boston University Central - Green Line - Park Street & North,green
169,70145,0,Boston College,508.0083647695588,Boston University Central,Boston University Central - Green Line - (B) Boston College,green
170,70146,1,Government Center,411.3333333333333,Boston University East,Boston University East - Green Line - Park Street & North,green
171,70146,1,Lechmere,759.0,Boston University East,Boston University East - Green Line - Park Street & North,green
172,70146,1,Park St,491.6200964920191,Boston University East,Boston University East - Green Line - Park Street & North,green
173,70147,0,Boston College,504.83248179401227,Boston University East,Boston University East - Green Line - (B) Boston College,green
174,70148,1,Government Center,444.73333333333335,Blandford Street,Blandford Street - Green Line - Park Street & North,green
175,70148,1,Lechmere,446.25,Blandford Street,Blandford Street - Green Line - Park Street & North,green
176,70148,1,North Station,379.625,Blandford Street,Blandford Street - Green Line - Park Street & North,green
177,70148,1,Park St,499.8369769704833,Blandford Street,Blandford Street - Green Line - Park Street & North,green
178,70149,0,Boston College,515.2175569967239,Blandford Street,Blandford Street - Green Line - (B) Boston College,green
179,70150,1,Government Center,169.11598541781225,Kenmore,Kenmore - Green Line - Park Street & North,green
180,70150,1,Lechmere,153.66666666666666,Kenmore,Kenmore - Green Line - Park Street & North,green
181,70150,1,North Station,170.64363254880496,Kenmore,Kenmore - Green Line - Park Street & North,green
182,70150,1,Park St,161.57855553475991,Kenmore,Kenmore - Green Line - Park Street & North,green
183,70151,0,Boston College,487.783529559643,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green
184,70151,0,Cleveland Circle,509.5251150690414,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green
185,70151,0,Riverside,473.1718299338078,Kenmore,"Kenmore - Green Line - (C) Cleveland Circle, (D) Riverside",green
186,70152,1,Government Center,165.6512836503482,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green
187,70152,1,Lechmere,166.16666666666666,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green
188,70152,1,North Station,166.62609435525403,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green
189,70152,1,Park St,167.7799893516812,Hynes Convention Center,Hynes Convention Center - Green Line - Park Street & North,green
190,70153,0,Boston College,475.6543217560895,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green
191,70153,0,Cleveland Circle,506.051842959406,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green
192,70153,0,Riverside,483.6136548071584,Hynes Convention Center,Hynes Convention Center - Green Line - Kenmore & West,green
193,70154,1,Government Center,125.34807805782685,Copley,Copley - Green Line - Park Street & North,green
194,70154,1,Lechmere,131.37688920360247,Copley,Copley - Green Line - Park Street & North,green
195,70154,1,North Station,127.29017217458548,Copley,Copley - Green Line - Park Street & North,green
196,70154,1,Park St,128.34488513443907,Copley,Copley - Green Line - Park Street & North,green
197,70155,0,Boston College,477.75928571428574,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green
198,70155,0,Cleveland Circle,503.57702062711826,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green
199,70155,0,Heath St,506.2203289861721,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green
200,70155,0,Riverside,482.5833747273395,Copley,"Copley - Green Line - Kenmore & West, (E) Heath Street",green
201,70156,1,Government Center,123.86017691641861,Arlington,Arlington - Green Line - Park Street & North,green
202,70156,1,Lechmere,133.5621582607935,Arlington,Arlington - Green Line - Park Street & North,green
203,70156,1,North Station,128.3801994593244,Arlington,Arlington - Green Line - Park Street & North,green
204,70156,1,Park St,127.7646876228711,Arlington,Arlington - Green Line - Park Street & North,green
205,70157,0,Boston College,478.0231594962387,Arlington,Arlington - Green Line - Copley & West,green
206,70157,0,Cleveland Circle,503.39799119738177,Arlington,Arlington - Green Line - Copley & West,green
207,70157,0,Heath St,505.9583927983313,Arlington,Arlington - Green Line - Copley & West,green
208,70157,0,Riverside,483.62425107607123,Arlington,Arlington - Green Line - Copley & West,green
209,70158,1,Government Center,122.38433775390297,Boylston,Boylston - Green Line - Park Street & North,green
210,70158,1,Lechmere,130.21580023678828,Boylston,Boylston - Green Line - Park Street & North,green
211,70158,1,North Station,128.77644566638122,Boylston,Boylston - Green Line - Park Street & North,green
212,70158,1,Park St,128.84492361879018,Boylston,Boylston - Green Line - Park Street & North,green
213,70159,0,Boston College,477.5914346985115,Boylston,Boylston - Green Line - Copley & West,green
214,70159,0,Cleveland Circle,503.14802262423126,Boylston,Boylston - Green Line - Copley & West,green
215,70159,0,Heath St,505.5381324485965,Boylston,Boylston - Green Line - Copley & West,green
216,70159,0,Riverside,483.33979769344757,Boylston,Boylston - Green Line - Copley & West,green
217,70160,1,Government Center,643.3358399875959,Riverside,Riverside - Green Line - Park Street & North,green
218,70160,1,Park St,818.0,Riverside,Riverside - Green Line - Park Street & North,green
219,70162,1,Government Center,503.25801859513325,Woodland,Woodland - Green Line - Park Street & North,green
220,70162,1,Lechmere,283.0,Woodland,Woodland - Green Line - Park Street & North,green
221,70162,1,North Station,371.0,Woodland,Woodland - Green Line - Park Street & North,green
222,70163,0,Riverside,500.2413276085327,Woodland,Woodland - Green Line - (D) Riverside,green
223,70164,1,Government Center,500.14195374342194,Waban,Waban - Green Line - Park Street & North,green
