stop_name,line,year,headway_time_sec,x,y
Airport,blue,2016,440.5259979095898,608,155
Airport,blue,2017,423.1213116139217,608,155
Airport,blue,2018,427.52836341263856,608,155
Airport,blue,2019,420.6901954858332,608,155
Airport,blue,2020,461.26388609276114,608,155
Airport,blue,2021,460.7333258781522,608,155
Airport,blue,2022,492.4242869857946,608,155
Alewife,red,2016,522.8975689715708,294,55
Alewife,red,2017,519.1137155105808,294,55
Alewife,red,2018,629.9580139999446,294,55
Alewife,red,2019,602.7704240255091,294,55
Alewife,red,2020,591.3279952059618,294,55
Alewife,red,2021,786.78262311903,294,55
Alewife,red,2022,736.0493838548001,294,55
Allston Street,green,2016,663.7907922162639,192,198
Allston Street,green,2017,461.5053867401082,192,198
Allston Street,green,2018,467.1568210404868,192,198
Allston Street,green,2019,505.68692294546224,192,198
Allston Street,green,2020,398.3647952906322,192,198
Allston Street,green,2021,535.771095263445,192,198
Allston Street,green,2022,557.9995538938683,192,198
Amory Street,green,2021,557.5486711326993,263,212
Amory Street,green,2022,551.3431401208452,263,212
Andrew,red,2016,467.8402163377462,551,382
Andrew,red,2017,462.0926054305544,551,382
Andrew,red,2018,531.1090175760653,551,382
Andrew,red,2019,542.9599000104613,551,382
Andrew,red,2020,545.1989248776915,551,382
Andrew,red,2021,559.7973725887896,551,382
Andrew,red,2022,626.7645239041034,551,382
Aquarium,blue,2016,439.7415992275422,554,211
Aquarium,blue,2017,421.1308020643353,554,211
Aquarium,blue,2018,428.55168231369726,554,211
Aquarium,blue,2019,421.339076186247,554,211
Aquarium,blue,2020,458.113547583303,554,211
Aquarium,blue,2021,461.32082113417744,554,211
Aquarium,blue,2022,493.6522858444358,554,211
Arlington,green,2016,310.9103618321549,414,266
Arlington,green,2017,310.5713771034288,414,266
Arlington,green,2018,323.4450823180408,414,266
Arlington,green,2019,315.8365341647867,414,266
Arlington,green,2020,345.08979480817527,414,266
Arlington,green,2021,360.78688215310217,414,266
Arlington,green,2022,358.142486530774,414,266
Ashmont,red,2016,694.3734277129907,524,517
Ashmont,red,2017,604.6069246363038,524,517
Ashmont,red,2018,515.4038909946543,524,517
Ashmont,red,2019,880.7781736910501,524,517
Ashmont,red,2020,864.0853070211393,524,517
Ashmont,red,2021,884.6768461582097,524,517
Ashmont,red,2022,810.7725100758398,524,517
Assembly,orange,2016,502.6827591510944,526,76
Assembly,orange,2017,504.65730713668495,526,76
Assembly,orange,2018,520.2975684335248,526,76
Assembly,orange,2019,516.1028738389169,526,76
Assembly,orange,2020,529.9798550695502,526,76
Assembly,orange,2021,544.4794092356997,526,76
Assembly,orange,2022,587.8686488783547,526,76
Babcock Street,green,2021,559.8152929691903,251,201
Babcock Street,green,2022,620.0181248651852,251,201
Back Bay,orange,2016,509.78727338272586,425,345
Back Bay,orange,2017,512.5523226068603,425,345
Back Bay,orange,2018,521.3889179693525,425,345
Back Bay,orange,2019,517.2614412908581,425,345
Back Bay,orange,2020,533.4994930583456,425,345
Back Bay,orange,2021,566.5159980044921,425,345
Back Bay,orange,2022,582.315732121273,425,345
Back of the Hill,green,2016,690.7395128730213,295,392
Back of the Hill,green,2017,478.4154970204696,295,392
Back of the Hill,green,2018,696.0054331032463,295,392
Back of the Hill,green,2019,581.4142216873552,295,392
Back of the Hill,green,2020,612.4787815476843,295,392
Back of the Hill,green,2021,625.9663747343933,295,392
Back of the Hill,green,2022,611.5168633218132,295,392
Ball Square,green,2022,445.5137472875998,414,55
Beachmont,blue,2016,445.6561661891394,678,86
Beachmont,blue,2017,426.6089183878049,678,86
Beachmont,blue,2018,431.7263887696671,678,86
Beachmont,blue,2019,423.311300515297,678,86
Beachmont,blue,2020,466.5773008487548,678,86
Beachmont,blue,2021,464.4026282949055,678,86
Beachmont,blue,2022,490.5712354141991,678,86
Beaconsfield,green,2016,486.3152138520845,259,327
Beaconsfield,green,2017,364.4510647422925,259,327
Beaconsfield,green,2018,697.6101247048886,259,327
Beaconsfield,green,2019,556.4486034778764,259,327
Beaconsfield,green,2020,494.3234594527911,259,327
Beaconsfield,green,2021,466.5563075081725,259,327
Beaconsfield,green,2022,437.3485345836925,259,327
Blandford Street,green,2016,619.2748297680479,298,248
Blandford Street,green,2017,457.1325734601081,298,248
Blandford Street,green,2018,472.8332229520547,298,248
Blandford Street,green,2019,472.4510361122629,298,248
Blandford Street,green,2020,398.0052323554072,298,248
Blandford Street,green,2021,390.49171195381007,298,248
Blandford Street,green,2022,718.8784714249434,298,248
Boston College,green,2016,353.0733102826571,116,267
Boston College,green,2017,400.9330402124718,116,267
Boston College,green,2018,571.7951570938438,116,267
Boston College,green,2019,817.1755885621906,116,267
Boston College,green,2020,9.0,116,267
Boston College,green,2021,781.0,116,267
Boston College,green,2022,460.1144519883608,116,267
Boston University Central,green,2016,389.537349319797,274,224
Boston University Central,green,2017,472.75860967302674,274,224
Boston University Central,green,2018,403.6217286425703,274,224
Boston University Central,green,2019,409.2374150182324,274,224
Boston University Central,green,2020,358.845078671163,274,224
Boston University Central,green,2021,511.3931937614051,274,224
Boston University Central,green,2022,547.2678189933655,274,224
Boston University East,green,2016,650.2209260424943,286,236
Boston University East,green,2017,541.6964779048411,286,236
Boston University East,green,2018,404.2393480651924,286,236
Boston University East,green,2019,377.1192686282069,286,236
Boston University East,green,2020,488.4270831201159,286,236
Boston University East,green,2021,453.3597831285579,286,236
Boston University East,green,2022,547.8346264273603,286,236
Bowdoin,blue,2016,443.3161702353191,482,195
Bowdoin,blue,2017,424.56223816982987,482,195
Bowdoin,blue,2018,259.85351058806435,482,195
Bowdoin,blue,2019,425.1439306647964,482,195
Bowdoin,blue,2020,417.1945096843068,482,195
Bowdoin,blue,2021,770.982650436975,482,195
Bowdoin,blue,2022,832.0313805783052,482,195
Boylston,green,2016,311.7533886287445,443,266
Boylston,green,2017,309.9798618425812,443,266
Boylston,green,2018,324.0593544661795,443,266
Boylston,green,2019,315.54396617089606,443,266
Boylston,green,2020,344.51025766536213,443,266
Boylston,green,2021,360.04121380564914,443,266
Boylston,green,2022,358.168626769284,443,266
Braintree,red,2016,686.3500361607604,650,579
Braintree,red,2017,691.1982023589597,650,579
Braintree,red,2018,919.7477723958174,650,579
Braintree,red,2019,940.628946260424,650,579
Braintree,red,2020,826.017685142237,650,579
Braintree,red,2021,1058.4068083750026,650,579
Braintree,red,2022,1121.2089059138832,650,579
Brandon Hall,green,2016,404.2069428762008,210,277
Brandon Hall,green,2017,532.1788861535258,210,277
Brandon Hall,green,2018,561.4934608250835,210,277
Brandon Hall,green,2019,552.0436361327434,210,277
Brandon Hall,green,2020,605.3199198724033,210,277
Brandon Hall,green,2021,556.887677807338,210,277
Brandon Hall,green,2022,553.6740007971025,210,277
Brigham Circle,green,2016,600.7987616819995,331,356
Brigham Circle,green,2017,588.9108575162898,331,356
Brigham Circle,green,2018,438.140901320706,331,356
Brigham Circle,green,2019,464.6766779392419,331,356
Brigham Circle,green,2020,549.9663812537184,331,356
Brigham Circle,green,2021,470.1792187635765,331,356
Brigham Circle,green,2022,518.1325521190439,331,356
Broadway,red,2016,469.919035171182,551,353
Broadway,red,2017,462.3654448932196,551,353
Broadway,red,2018,532.0866591087461,551,353
Broadway,red,2019,548.133092123539,551,353
Broadway,red,2020,545.4321635078453,551,353
Broadway,red,2021,560.004844368054,551,353
Broadway,red,2022,627.3601310758537,551,353
Brookline Hills,green,2016,450.481881157471,270,316
Brookline Hills,green,2017,439.14601793868735,270,316
Brookline Hills,green,2018,521.5510031644064,270,316
Brookline Hills,green,2019,396.54126166018585,270,316
Brookline Hills,green,2020,511.3839653004839,270,316
Brookline Hills,green,2021,546.0409107438988,270,316
Brookline Hills,green,2022,531.045977257789,270,316
