Unnamed: 0,stop_id,direction_id,destination,headway_time_sec,stop_name
0,70001,1,Oak Grove,499.69223892457455,
1,70002,0,Forest Hills,509.65649852434274,Green Street
2,70003,1,Oak Grove,512.0709980499911,Green Street
3,70004,0,Forest Hills,506.5381077382154,Stony Brook
4,70005,1,Oak Grove,512.9414180568053,Stony Brook
5,70006,0,Forest Hills,506.07084761712713,Jackson Square
6,70007,1,Oak Grove,511.7442836119226,Jackson Square
7,70008,0,Forest Hills,504.4476535097456,Roxbury Crossing
8,70009,1,Oak Grove,511.7408963893595,Roxbury Crossing
9,70010,0,Forest Hills,504.7196029776675,Ruggles
10,70011,1,Oak Grove,511.32834210468366,Ruggles
11,70012,0,Forest Hills,505.26147908256064,Massachusetts Avenue
12,70013,1,Oak Grove,512.1386379280675,Massachusetts Avenue
13,70014,0,Forest Hills,506.44928571428574,Back Bay
14,70015,1,Oak Grove,513.125261051166,Back Bay
15,70016,0,Forest Hills,508.8993129021704,Tufts Medical Center
16,70017,1,Oak Grove,515.3095238095239,Tufts Medical Center
17,70018,0,Forest Hills,510.6439480333624,Chinatown
18,70019,1,Oak Grove,515.177310616667,Chinatown
19,70020,0,Forest Hills,509.1762940735184,Downtown Crossing
20,70021,1,Oak Grove,509.7649419490525,Downtown Crossing
21,70022,0,Forest Hills,512.90716254032,State
22,70023,1,Oak Grove,509.3843737135181,State
23,70024,0,Forest Hills,512.8667491749175,Haymarket
24,70025,1,Oak Grove,505.859962323666,Haymarket
25,70026,0,Forest Hills,509.9817631224764,North Station
26,70027,1,Oak Grove,506.17717453473534,North Station
27,70028,0,Forest Hills,507.6767147225863,Community College
28,70029,1,Oak Grove,503.7102787303262,Community College
29,70030,0,Forest Hills,505.2348167423808,Sullivan Square
30,70031,1,Oak Grove,500.1741931214013,Sullivan Square
31,70032,0,Forest Hills,513.825794495161,Wellington
32,70033,1,Oak Grove,500.5079767705761,Wellington
33,70034,0,Forest Hills,515.0836160492152,Malden Center
