Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
0,70063,0,Red-A,549.9486166007905,1091.655138339921,Davis
1,70063,0,Red-B,531.918105574741,1086.3604010025065,Davis
2,70064,1,Red-A,546.4863793957404,1113.754707631318,Davis
3,70064,1,Red-B,563.9634928465713,1088.9333333333334,Davis
4,70065,0,Red-A,549.573543928924,1091.2675222112537,Porter
5,70065,0,Red-B,530.5191552062869,1081.3627744510975,Porter
6,70066,1,Red-A,541.5232443125618,1114.7947576656777,Porter
7,70066,1,Red-B,567.3722879684418,1087.6673346693387,Porter
8,70067,0,Red-A,553.0764299802761,1090.5290927021697,Harvard
9,70067,0,Red-B,533.0756756756757,1082.282076884673,Harvard
10,70067,1,Red-A,,,Harvard
11,70068,1,Red-A,531.7662721893491,1110.4023668639054,Harvard
12,70068,1,Red-B,570.4527655408713,1079.4873197414222,Harvard
13,70069,0,Red-A,550.9269759450171,1110.1383161512028,Central
14,70069,0,Red-B,553.5117471166168,1096.494572297004,Central
15,70070,1,Red-A,530.6290737564323,1124.095238095238,Central
16,70070,1,Red-B,591.8045337895637,1096.743043478261,Central
17,70071,0,Red-A,555.2643776824034,1109.0321888412018,Kendall/MIT
18,70071,0,Red-B,550.0098416773642,1097.8729882557634,Kendall/MIT
19,70072,1,Red-A,521.4729613733906,1121.2945470158866,Kendall/MIT
20,70072,1,Red-B,596.4300385109115,1097.251848629839,Kendall/MIT
21,70073,0,Red-A,551.8492915414341,1109.7093173035637,Charles/MGH
22,70073,0,Red-B,554.5524176294394,1097.9121357111787,Charles/MGH
23,70074,1,Red-A,514.3559467582653,1119.8243881494204,Charles/MGH
24,70074,1,Red-B,602.3281985451433,1097.6824706394084,Charles/MGH
25,70075,0,Red-A,562.2142552283398,1116.4995730145174,Park Street
26,70075,0,Red-B,554.3695652173913,1101.6954072790295,Park Street
27,70076,1,Red-A,516.4438731790917,1117.2570694087403,Park Street
28,70076,1,Red-B,598.5448717948718,1097.043874891399,Park Street
29,70077,0,Red-A,561.890290037831,1115.718789407314,Downtown Crossing
30,70077,0,Red-B,551.9815281276238,1097.7662116040956,Downtown Crossing
31,70078,1,Red-A,494.8981833544571,1113.5792141951838,Downtown Crossing
32,70078,1,Red-B,615.3973927670311,1099.2944444444445,Downtown Crossing
33,70079,0,Red-A,561.5392692146157,1114.8467030659388,South Station
34,70079,0,Red-B,551.7395134228188,1096.8299232736572,South Station
35,70080,1,Red-A,488.4359512809744,1101.7144057118858,South Station
36,70080,1,Red-B,611.7024758707512,1096.101492537313,South Station
37,70081,0,Red-A,572.4232715008432,1124.239460370995,Broadway
38,70081,0,Red-B,549.9646613378208,1100.140658401026,Broadway
39,70082,1,Red-A,487.6166174609869,1104.9072121467734,Broadway
40,70082,1,Red-B,614.6446593776283,1099.058547008547,Broadway
41,70083,0,Red-A,567.4081375838927,1120.1954697986578,Andrew
42,70083,0,Red-B,552.104690117253,1095.3085106382978,Andrew
43,70084,1,Red-A,475.1700879765396,1098.4486803519062,Andrew
44,70084,1,Red-B,623.5737636211232,1094.905877342419,Andrew
45,70085,0,Red-A,553.0508757297748,1115.063127090301,JFK/UMass
46,70086,1,Red-A,527.4709083298451,1091.8702385935535,JFK/UMass
47,70087,0,Red-A,1106.404732762138,1108.327213382293,Savin Hill
48,70087,0,Red-B,4712.0,,Savin Hill
49,70088,1,Red-A,1086.5561432058585,1086.5561432058585,Savin Hill
50,70089,0,Red-A,1105.0677274581803,1106.9865361077111,Fields Corner
51,70089,0,Red-B,4703.0,,Fields Corner
52,70090,1,Red-A,1087.442589576547,1087.442589576547,Fields Corner
53,70091,0,Red-A,1105.5836734693878,1107.4991836734694,Shawmut
